"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","kills","killStreaks","longestKill","matchDuration","numGroups","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPlacePerc","Distance"
"assists",1,0.3509479974986,0.402993895538187,0.251174303977678,0.196619420640114,0.239381595555844,-0.299097696157097,0.299733717320304,0.223285986845252,0.271693743066594,0.00507417251964843,0.00210553309240109,0.152213060056063,0.0136529843164464,-0.0064698687896918,0.0488521227516938,0.215833829703009,0.322249221510235,0.243058573291958
"boosts",0.3509479974986,1,0.574425043473395,0.447001603131603,0.370839232351501,0.560537354178879,-0.573654247961904,0.554595677032527,0.439708085111942,0.450412815143287,0.0653646397578907,-0.0238285871324137,0.287138048768754,0.0331767476009026,0.014985565312651,0.0774551050263724,0.452857367600627,0.650330990380713,0.583797773046331
"damageDealt",0.402993895538187,0.574425043473395,1,0.819822642328555,0.602557078402904,0.386033905222515,-0.70285702965327,0.888197021410948,0.721207157839798,0.577502647222404,0.0136384955587985,0.00270672839139257,0.319069527475145,0.0465535949156142,0.0145661744599857,0.0793963584102284,0.339768324457109,0.478546008618921,0.346258123735267
"DBNOs",0.251174303977678,0.447001603131603,0.819822642328555,1,0.534863122411493,0.307260708623591,-0.630662324183989,0.801672142719203,0.682067200496154,0.506863863773238,0.0062538535728171,0.0031064598403376,0.301284691079802,0.0466948235194884,0.0471052669254553,0.0567197198311001,0.261023869769385,0.360758289322498,0.257670713794368
"headshotKills",0.196619420640114,0.370839232351501,0.602557078402904,0.534863122411493,1,0.232713305008809,-0.491235077440809,0.66359995198918,0.525494958778711,0.4546089371315,-0.00695582604077339,0.0016818888910225,0.203783824816542,0.0131680966501465,0.0129387037292023,0.0432874454709715,0.209727462581519,0.303001447686967,0.218112294211577
"heals",0.239381595555844,0.560537354178879,0.386033905222515,0.307260708623591,0.232713305008809,1,-0.409616683487838,0.350297868550397,0.299139938097021,0.290562503802391,0.114565937943307,-0.0188307864703485,0.251489606559384,0.0254594610486228,0.0323752564715101,0.0559307698924485,0.333844862883089,0.449573977716023,0.437672896217333
"killPlace",-0.299097696157097,-0.573654247961904,-0.70285702965327,-0.630662324183989,-0.491235077440809,-0.409616683487838,1,-0.758728749012506,-0.835032548419661,-0.558116472072773,-0.0105018982706561,0.078123327070966,-0.313774261248928,-0.0466927266359635,-0.0516028308947632,-0.0672634554037513,-0.531756284141138,-0.745591456380463,-0.504341671202617
"kills",0.299733717320304,0.554595677032527,0.888197021410948,0.801672142719203,0.66359995198918,0.350297868550397,-0.758728749012506,1,0.82259392623726,0.624561600181001,-0.011013731886744,0.00789738546240152,0.327385397144049,0.0512708151825499,0.0237944994699702,0.0792348709878668,0.316867888149291,0.453256770714553,0.320322299267588
"killStreaks",0.223285986845252,0.439708085111942,0.721207157839798,0.682067200496154,0.525494958778711,0.299139938097021,-0.835032548419661,0.82259392623726,1,0.538307819070303,-0.0209347421675424,0.00914672545317096,0.285601045333092,0.0499807759231741,0.039478664585686,0.0579378112231746,0.295890923952622,0.406522614109295,0.268138065506881
"longestKill",0.271693743066594,0.450412815143287,0.577502647222404,0.506863863773238,0.4546089371315,0.290562503802391,-0.558116472072773,0.624561600181001,0.538307819070303,1,0.0573795553071078,-0.0146310033366418,0.199964844035526,0.0281223426406476,0.0116905785973857,0.0763364630964028,0.298851293087454,0.430427263515771,0.375000285670508
"matchDuration",0.00507417251964843,0.0653646397578907,0.0136384955587985,0.0062538535728171,-0.00695582604077339,0.114565937943307,-0.0105018982706561,-0.011013731886744,-0.0209347421675424,0.0573795553071078,1,-0.170955296201987,0.0277080673425833,0.0341292669359629,0.0532770877611006,0.0564400794768307,0.156578284063391,2.55939069489709e-05,0.325596119556739
"numGroups",0.00210553309240109,-0.0238285871324137,0.00270672839139257,0.0031064598403376,0.0016818888910225,-0.0188307864703485,0.078123327070966,0.00789738546240152,0.00914672545317096,-0.0146310033366418,-0.170955296201987,1,-0.00422344924796047,-0.00668378255235164,-0.011526502395032,-0.00918518214855268,-0.037445590398157,0.0140062239915158,-0.0774029773680963
"revives",0.152213060056063,0.287138048768754,0.319069527475145,0.301284691079802,0.203783824816542,0.251489606559384,-0.313774261248928,0.327385397144049,0.285601045333092,0.199964844035526,0.0277080673425833,-0.00422344924796047,1,0.0110890596591967,0.016536234371004,0.0318139373217893,0.191890778944546,0.26861060402721,0.199948788743614
"roadKills",0.0136529843164464,0.0331767476009026,0.0465535949156142,0.0466948235194884,0.0131680966501465,0.0254594610486228,-0.0466927266359635,0.0512708151825499,0.0499807759231741,0.0281223426406476,0.0341292669359629,-0.00668378255235164,0.0110890596591967,1,0.0124514538620728,0.0183282734338996,0.0241227470161048,0.0286862839848504,0.0688986137336452
"teamKills",-0.0064698687896918,0.014985565312651,0.0145661744599857,0.0471052669254553,0.0129387037292023,0.0323752564715101,-0.0516028308947632,0.0237944994699702,0.039478664585686,0.0116905785973857,0.0532770877611006,-0.011526502395032,0.016536234371004,0.0124514538620728,1,0.120189327582033,0.0332832801424837,0.0279450091802648,0.04893466859738
